"Homepage display Settings","Anzeige auf der Startseite"
"Category","Kategorie"
"Amount of items","Anzahl Produkte"
"Amount of items per view","Produkte pro Slide"
"Category that contains the homepage products","Aus welcher Kategorie sollen die Produkte angezeigt werden."
"How many Products shall the Slider contain","Wie viele Produkte sollen insgesamt im Slider angezeigt werden?"
"How many Products shall be displayed per slide","Wie viele Produkte sollen pro Slide angezeigt werden?"
"Homepage Products","Produkte auf Startseite"
